time,targetY,playerY,dotStatus,score,numFishCaught,beatOffset,weight
0.111676,0.08743063,30.44391,NotOnTheLine,0,0,True,8
0.2229584,0.7777561,28.99725,NotOnTheLine,0,0,True,8
0.3767756,2.787264,27.2388,NotOnTheLine,0,0,True,8
0.487738,4.986552,24.77173,NotOnTheLine,0,0,True,8
0.5900559,7.414998,21.10394,NotOnTheLine,0,0,True,8
0.6923692,10.29987,17.97797,CloseEnough,0,0,True,8
0.7937151,13.85229,14.32803,OnTheLine,0,0,True,8
0.9036774,17.16279,11.01697,OnTheLine,0,0,True,8
1.045029,22.53702,5.450958,NotOnTheLine,0,0,True,8
1.155238,26.00182,2.585693,NotOnTheLine,0,0,True,8
1.267475,29.82975,0.4159241,NotOnTheLine,0,0,True,8
1.379418,33.42019,-1.585602,NotOnTheLine,0,0,True,8
1.531259,37.82471,-4.639435,NotOnTheLine,0,0,True,8
1.672681,41.2802,-6.534882,NotOnTheLine,0,0,True,8
1.781864,42.94625,-8.102173,NotOnTheLine,0,0,True,8
1.935413,44.59715,-9.32962,NotOnTheLine,0,0,True,8
2.088447,44.97053,-9.157623,NotOnTheLine,0,0,True,8
2.20023,44.42586,-8.205017,NotOnTheLine,0,0,True,8
2.31179,43.20617,-5.272736,NotOnTheLine,0,0,True,8
2.453189,40.51579,-0.2653503,NotOnTheLine,0,0,True,8
2.603094,37.10738,4.082214,NotOnTheLine,0,0,True,8
2.75658,32.70404,9.16748,NotOnTheLine,0,0,True,8
2.91009,27.62907,14.33908,NotOnTheLine,0,0,True,8
3.020947,23.63692,18.6315,CloseEnough,0,0,True,8
3.133535,19.77572,23.46362,OnTheLine,40,0,True,8
3.285865,14.48859,25.6413,CloseEnough,40,0,True,8
3.397875,10.97391,23.64758,NotOnTheLine,40,0,True,8
3.508585,7.812889,21.86307,NotOnTheLine,40,0,True,8
3.62091,5.069692,20.71024,NotOnTheLine,40,0,True,8
3.731273,2.863422,19.11176,NotOnTheLine,40,0,True,8
3.883651,0.7918136,17.71048,NotOnTheLine,40,0,True,8
3.984609,0.1013298,16.14487,NotOnTheLine,40,0,True,8
4.09227,0.03765553,14.6409,NotOnTheLine,40,0,True,8
4.23441,1.002437,11.98117,NotOnTheLine,40,0,True,8
4.343439,2.247542,10.38928,CloseEnough,40,0,True,8
4.4843,5.167923,7.51413,OnTheLine,40,0,True,8
4.635281,8.75329,4.231384,OnTheLine,40,0,True,8
4.777693,13.32728,2.008667,CloseEnough,40,0,True,8
4.886177,16.59831,0.6768494,NotOnTheLine,40,0,True,8
4.998239,20.44861,-0.6705322,NotOnTheLine,40,0,True,8
5.109994,24.41327,-2.958221,NotOnTheLine,40,0,True,8
5.22183,28.27685,-4.735321,NotOnTheLine,40,0,True,8
5.373882,33.34627,-6.269379,NotOnTheLine,40,0,True,8
5.485116,36.55408,-7.728119,NotOnTheLine,40,0,True,8
5.600135,39.47969,-7.195221,NotOnTheLine,40,0,True,8
5.712072,41.78545,-7.481232,NotOnTheLine,40,0,True,8
5.82005,43.60661,-7.598511,NotOnTheLine,40,0,True,8
5.960344,44.80621,-7.663177,NotOnTheLine,40,0,True,8
6.069466,44.99355,-6.817841,NotOnTheLine,40,0,True,8
6.222919,44.22626,-4.182312,NotOnTheLine,40,0,True,8
6.362713,42.21114,-1.340149,NotOnTheLine,40,0,True,8
6.473979,40.31634,0.776825,NotOnTheLine,40,0,True,8
6.613955,36.54721,4.545685,NotOnTheLine,40,0,True,8
6.724595,33.68119,6.27948,NotOnTheLine,40,0,True,8
6.837277,30.10836,8.444061,NotOnTheLine,40,0,True,8
6.947896,26.29497,12.03806,NotOnTheLine,40,0,True,8
7.058276,22.31047,15.34744,CloseEnough,40,0,True,8
7.170636,18.472,20.55673,OnTheLine,80,0,True,8
7.282118,14.65277,25.42529,CloseEnough,80,0,True,8
7.393272,11.1122,30.79202,NotOnTheLine,80,0,True,8
7.505054,7.908423,35.09247,NotOnTheLine,80,0,True,8
7.616713,5.137924,39.36407,NotOnTheLine,80,0,True,8
7.727302,2.893244,43.42279,NotOnTheLine,80,0,True,8
7.846343,1.240435,45.92502,NotOnTheLine,80,0,True,8
7.959968,0.2606034,48.14667,NotOnTheLine,80,0,True,8
8.114832,0.09519562,47.56082,NotOnTheLine,80,0,True,8
8.215835,0.8114983,43.08389,NotOnTheLine,80,0,True,8
8.325486,1.971503,40.46179,NotOnTheLine,80,0,True,8
8.436702,3.903104,36.7038,NotOnTheLine,80,0,True,8
8.549252,6.399763,32.15884,NotOnTheLine,80,0,True,8
8.700248,10.63723,24.82217,NotOnTheLine,80,0,True,8
8.853297,15.46445,17.21695,OnTheLine,80,0,True,8
9.006691,20.7655,10.2366,CloseEnough,80,0,True,8
9.11893,24.70953,6.515808,NotOnTheLine,80,0,True,8
9.259326,29.98907,3.082764,NotOnTheLine,80,0,True,8
9.369231,33.1454,1.621765,NotOnTheLine,80,0,True,8
9.481135,36.42416,-0.2598877,NotOnTheLine,80,0,True,8
9.592181,39.30653,-2.620178,NotOnTheLine,80,0,True,8
9.703715,41.66347,-4.718658,NotOnTheLine,80,0,True,8
9.814767,43.41973,-6.61261,NotOnTheLine,80,0,True,8
9.926264,44.53568,-8.387268,NotOnTheLine,80,0,True,8
10.06666,44.98434,-11.173,NotOnTheLine,80,0,True,8
10.1766,44.59649,-11.63159,NotOnTheLine,80,0,True,8
10.28889,43.51258,-11.99487,NotOnTheLine,80,0,True,8
10.42715,41.2323,-12.38239,NotOnTheLine,80,0,True,8
10.53889,38.81926,-12.79007,NotOnTheLine,80,0,True,8
